GEOID,BeerPO,Pharmacies,physicians,MentalHeal,Generalhos,Secialtyho,ZoosPO,NaturePark,CasinosPO,FitnessPO,DrinkingPl,ReligiousP,Geocode_1,Rural_urba,X,Y,Walkabilit,CountyDiss,Five_ave_c,New_rural,Population,Populati_1,Populati_2,NoHealthIn,X_Black,Neighbor_D,X_Immigran,Beer,Pharmaci_1,physicia_1,MentalHe_1,Generalh_1,Secialty_1,Zoos,NaturePa_1,Casinos,Fitness,Drinking_1,Religiou_1,X_HouseRen,X_TotalGre,Depression,Mental_hea
45019001100,2,0,3,0,1,0,0,2,0,5,3,7,2,1,1495639.362,-554270.7813,15.22222222,0.526288399,160.2634219,0,6395.189,49.71,10.45,7.98,59.16,1.049754622,1.1037528,2.345095,6.25964,5.952904,0.949068,46.365165,0.087746,1.424358,21.887885,0.549948,14.594003,16.228681,9.147982,69.04,0,19,17.20000076
45045000800,0,0,4,0,0,0,0,0,0,0,2,4,2,1,1233250.547,-366252.2064,16.83333333,0.40363857,2134.526712,0,3931.25,49.67,9.62,20.62,55,1.414583187,2.9175784,1.344255,8.411841,3.535361,1.552931,8.061344,0.287774,0.797598,13.540136,0.122987,7.827823,3.631314,9.906268,62.07,0,19.70000076,19
45079000200,0,3,0,0,0,0,0,1,0,0,0,6,2,1,1373062.263,-434720.8948,15.75,0.458914301,2849.4494,0,2849.655,45.25,17.46,26.05,81.67,1.9213523,0.9876543,1.577683,7.531488,2.834886,0.665309,5.779383,0.620918,0.113518,11.415669,0.201563,5.633979,5.56634,12.098297,72.58,4.21,19.79999924,18.70000076
45021970700,0,0,0,0,0,0,0,0,0,0,0,11,2,2,1302772.6,-346269.0467,2.75,0.448525353,1752.103884,0,52.81931,51.83,14.37,8.44,1.42,0.369016417,3.8586009,1.40146,12.408873,9.202277,1.245179,18.952725,0.315813,0.180765,7.307876,0.315216,6.747458,2.713785,18.266018,15.5,76.21,25.79999924,19.39999962
45015020725,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1489487.964,-535213.3901,6.333333333,0.293936663,1222.155087,0,2117.504,42.87,0.34,1.56,16.54,-0.972727064,1.5161957,0.80243,11.964888,4.91689,0.394198,9.93781,0.242624,0.910316,13.544585,0.109029,14.950689,5.267589,7.994651,97.37,8.47,25.20000076,19.70000076
45015020810,1,0,0,0,0,0,0,2,0,0,1,4,2,2,1485765.074,-535901.9297,7.5,0.293936663,1222.155087,0,3971.235,46.42,8.68,17.65,23.04,-0.202383869,17.953668,3.081954,5.930611,4.001958,0.702431,10.1242,0.310641,0.764019,13.857751,0.206936,7.273176,3.869025,8.21526,34.03,15.11,21.70000076,17.29999924
45019003300,0,1,3,1,0,0,0,2,0,1,0,12,2,1,1489107.702,-544787.9858,13.70833333,0.526288399,160.2634219,0,2362.385,50.58,8.71,32.22,70.47,0.811753709,11.1722872,0.912753,3.576906,4.27816,1.205268,14.288091,0.248736,0.054589,13.511612,0.063676,5.107748,3.144959,13.555232,65.54,2.01,18.89999962,19.5
45015020401,0,0,0,0,0,0,0,0,0,0,0,14,2,2,1508258.974,-508142.9505,3,0.293936663,1222.155087,0,12.95177,49.84,17.84,12.94,40.22,0.140581966,0.5125702,1.543528,10.998143,7.787889,0.874872,11.859225,0.266217,0.84699,8.336068,0.125006,7.57769,3.38762,19.172763,10.89,44.51,22.79999924,18
45013011300,0,0,0,0,0,0,0,2,0,3,3,2,2,3,1433411.567,-638357.1144,10,0.547122122,1280.964228,0,1765.162,50.8,31.01,16.98,1.04,-0.776181855,7.2573044,2.181286,17.012518,5.264443,2.010309,13.679595,0.169856,2.815213,43.888191,1.024147,54.083621,22.607582,18.934796,35.24,43.78,17.89999962,10.5
45003020702,1,4,8,0,0,0,0,2,0,2,0,7,2,2,1299320.335,-506946.1399,7.833333333,0.270196507,1663.465139,0,1828.278,51.65,11.94,13.49,32.19,0.256153407,11.2180104,0.856947,4.094536,3.214498,0.245369,40.086414,0.137293,0.149612,15.232891,0.183981,8.13243,2.104588,7.204158,55.9,29.62,20.20000076,16.5
